X,Y,VALUE
10.9063267634516,44.6506116841645,5
10.913416,44.645073,49
10.930801,44.624152,7
10.929349,44.6344,46
10.92611,44.646247,9
10.9047394064795,44.6360271292371,56
10.948936,44.629214,56
10.945775,44.658092,60
10.943549,44.634784,14
10.9299136,44.6574023,23
10.9532796,44.6296937,49
10.9439714,44.6366106,5
10.909071,44.62992,9
10.8766205,44.6755637,12
10.87478255,44.63492761,46
10.9098135,44.6709751,44
10.976357,44.632042,16
10.964812,44.650001,44
10.928811,44.60006,44
10.970566,44.663736,14
10.868156,44.630846,19
